Protocol,Target,IP,ASN,Occurrences
TCP,80.77.4.60,62.115.136.200,1299,1
TCP,80.77.4.60,62.115.112.71,1299,3
TCP,80.77.4.60,62.115.57.79,1299,3
TCP,80.77.4.60,85.95.26.222,15412,3
TCP,80.77.4.60,62.216.128.214,15412,3
TCP,80.77.4.60,62.216.131.154,15412,3
TCP,80.77.4.60,85.95.25.93,15412,3
TCP,80.77.4.60,80.77.4.60,15412,3
TCP,130.104.228.159,172.17.0.1,No AS found,2
TCP,130.104.228.159,192.168.1.1,No AS found,3
TCP,130.104.228.159,191.112.0.1,7418,3
TCP,130.104.228.159,10.50.3.21,No AS found,2
TCP,130.104.228.159,10.50.3.9,No AS found,1
TCP,130.104.228.159,213.140.39.160,12956,1
TCP,130.104.228.159,94.142.98.131,12956,1
TCP,130.104.228.159,171.75.8.23,3356,3
TCP,130.104.228.159,212.133.24.90,3356,3
TCP,130.104.228.159,193.191.3.86,2611,3
TCP,130.104.228.159,130.104.228.159,2611,3
