probe_size,start_time,src,node_ttl,tos,dst,reply_icmp_code,reply_ipid,link_count,probe_sent_sec,node_link_count,hop_addr,attempts,node_addr,reply_rtt,gaplimit,method,confidence,probe_attempt,probe_sent_usec,reply_icmp_type,probe_flowid,wait_timeout,reply_ttl,probe_ttl,node_count
44,2024-12-07 10:02:37,192.168.1.27,1,0,5.161.76.19,0,806,3,1733576558,1,191.112.0.1,2,192.168.1.1,5.656,3,icmp-echo,95,0,551149,11,5,5,254,2,3
44,2024-12-07 10:02:37,192.168.1.27,1,0,5.161.76.19,0,807,3,1733576558,1,191.112.0.1,2,192.168.1.1,4.111,3,icmp-echo,95,0,802126,11,6,5,254,2,3
44,2024-12-07 10:02:37,192.168.1.27,1,0,5.161.76.19,0,770,3,1733576559,1,10.50.3.9,2,191.112.0.1,3.927,3,icmp-echo,95,0,52642,11,1,5,253,3,3
44,2024-12-07 10:02:37,192.168.1.27,1,0,5.161.76.19,0,903,3,1733576559,1,10.50.3.9,2,191.112.0.1,3.106,3,icmp-echo,95,0,552936,11,3,5,253,3,3
44,2024-12-07 10:02:37,192.168.1.27,1,0,5.161.76.19,0,53,3,1733576560,1,10.50.3.9,2,191.112.0.1,3.752,3,icmp-echo,95,0,304923,11,6,5,253,3,3
44,2024-12-07 10:02:37,192.168.1.27,1,0,5.161.76.19,0,108,3,1733576560,1,10.50.3.9,2,191.112.0.1,3.995,3,icmp-echo,95,0,555033,11,7,5,253,3,3
44,2024-12-07 10:02:37,192.168.1.27,1,0,5.161.76.19,0,172,3,1733576560,1,10.50.3.9,2,191.112.0.1,4.174,3,icmp-echo,95,0,805418,11,8,5,253,3,3
44,2024-12-07 10:02:37,192.168.1.27,1,0,5.161.76.19,0,344,3,1733576561,1,10.50.3.9,2,191.112.0.1,4.034,3,icmp-echo,95,0,557098,11,11,5,253,3,3
44,2024-12-07 10:02:37,192.168.1.27,1,0,5.161.76.19,0,828,3,1733576559,1,10.50.3.21,2,191.112.0.1,3.814,3,icmp-echo,95,0,302919,11,2,5,253,3,3
44,2024-12-07 10:02:37,192.168.1.27,1,0,5.161.76.19,0,955,3,1733576559,1,10.50.3.21,2,191.112.0.1,4.213,3,icmp-echo,95,0,803479,11,4,5,253,3,3
44,2024-12-07 10:02:37,192.168.1.27,1,0,5.161.76.19,0,1016,3,1733576560,1,10.50.3.21,2,191.112.0.1,4.389,3,icmp-echo,95,0,54074,11,5,5,253,3,3
44,2024-12-07 10:02:37,192.168.1.27,1,0,5.161.76.19,0,229,3,1733576561,1,10.50.3.21,2,191.112.0.1,4.258,3,icmp-echo,95,0,56022,11,9,5,253,3,3
44,2024-12-07 10:02:37,192.168.1.27,1,0,5.161.76.19,0,288,3,1733576561,1,10.50.3.21,2,191.112.0.1,3.965,3,icmp-echo,95,0,306725,11,10,5,253,3,3
44,2024-12-07 10:02:37,192.168.1.27,1,0,5.161.76.19,0,409,3,1733576561,1,10.50.3.21,2,191.112.0.1,3.63,3,icmp-echo,95,0,807547,11,1,5,253,3,3
44,2024-12-07 10:02:37,192.168.1.27,1,0,5.161.76.19,0,13,3,1733576562,1,10.50.3.10,2,191.112.0.1,4.439,3,icmp-echo,95,0,58502,11,1,5,252,4,3
44,2024-12-07 10:02:37,192.168.1.27,1,0,5.161.76.19,0,84,3,1733576562,1,10.50.3.10,2,191.112.0.1,4.577,3,icmp-echo,95,0,309384,11,2,5,252,4,3
44,2024-12-07 10:02:37,192.168.1.27,1,0,5.161.76.19,0,161,3,1733576562,1,10.50.3.10,2,191.112.0.1,3.836,3,icmp-echo,95,0,560143,11,3,5,252,4,3
44,2024-12-07 10:02:37,192.168.1.27,1,0,5.161.76.19,0,227,3,1733576562,1,10.50.3.10,2,191.112.0.1,4.577,3,icmp-echo,95,0,810342,11,4,5,252,4,3
44,2024-12-07 10:02:37,192.168.1.27,1,0,5.161.76.19,0,296,3,1733576563,1,10.50.3.10,2,191.112.0.1,3.77,3,icmp-echo,95,0,61196,11,5,5,252,4,3
44,2024-12-07 10:02:37,192.168.1.27,1,0,5.161.76.19,0,355,3,1733576563,1,10.50.3.10,2,191.112.0.1,4.262,3,icmp-echo,95,0,312171,11,6,5,252,4,3
44,2024-12-07 10:02:37,192.168.1.27,1,0,5.161.76.19,0,0,3,1733576573,1,213.140.39.160,2,10.50.3.10,6.56,3,icmp-echo,95,0,570071,11,2,5,250,5,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,200,3,1733576137,1,191.112.0.1,2,192.168.1.1,6.106,3,icmp-echo,95,0,941491,11,1,5,254,2,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,202,3,1733576138,1,191.112.0.1,2,192.168.1.1,4.26,3,icmp-echo,95,0,191958,11,2,5,254,2,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,203,3,1733576138,1,191.112.0.1,2,192.168.1.1,4.719,3,icmp-echo,95,0,442570,11,3,5,254,2,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,205,3,1733576138,1,191.112.0.1,2,192.168.1.1,6.197,3,icmp-echo,95,0,692598,11,4,5,254,2,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,206,3,1733576138,1,191.112.0.1,2,192.168.1.1,4.494,3,icmp-echo,95,0,943163,11,5,5,254,2,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,207,3,1733576139,1,191.112.0.1,2,192.168.1.1,4.107,3,icmp-echo,95,0,194006,11,6,5,254,2,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,582,3,1733576139,1,10.50.3.9,2,191.112.0.1,3.46,3,icmp-echo,95,0,946316,11,3,5,253,3,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,627,3,1733576140,1,10.50.3.9,2,191.112.0.1,4.37,3,icmp-echo,95,0,197128,11,4,5,253,3,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,729,3,1733576140,1,10.50.3.9,2,191.112.0.1,4.04,3,icmp-echo,95,0,698170,11,6,5,253,3,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,791,3,1733576140,1,10.50.3.9,2,191.112.0.1,3.274,3,icmp-echo,95,0,948555,11,7,5,253,3,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,842,3,1733576141,1,10.50.3.9,2,191.112.0.1,4.102,3,icmp-echo,95,0,199187,11,8,5,253,3,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,892,3,1733576141,1,10.50.3.9,2,191.112.0.1,3.085,3,icmp-echo,95,0,449648,11,9,5,253,3,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,947,3,1733576141,1,10.50.3.9,2,191.112.0.1,4.172,3,icmp-echo,95,0,700062,11,10,5,253,3,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,991,3,1733576141,1,10.50.3.9,2,191.112.0.1,3.147,3,icmp-echo,95,0,950597,11,11,5,253,3,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,489,3,1733576139,1,10.50.3.21,2,191.112.0.1,4.554,3,icmp-echo,95,0,444461,11,1,5,253,3,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,534,3,1733576139,1,10.50.3.21,2,191.112.0.1,3.553,3,icmp-echo,95,0,695393,11,2,5,253,3,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,684,3,1733576140,1,10.50.3.21,2,191.112.0.1,2.979,3,icmp-echo,95,0,447842,11,5,5,253,3,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,23,3,1733576142,1,10.50.3.21,2,191.112.0.1,4.32,3,icmp-echo,95,0,201125,11,3,5,253,3,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,849,3,1733576142,1,10.50.3.10,2,191.112.0.1,4.585,3,icmp-echo,95,0,451814,11,1,5,252,4,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,901,3,1733576142,1,10.50.3.10,2,191.112.0.1,3.854,3,icmp-echo,95,0,702789,11,2,5,252,4,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,979,3,1733576142,1,10.50.3.10,2,191.112.0.1,5.528,3,icmp-echo,95,0,952934,11,3,5,252,4,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,27,3,1733576143,1,10.50.3.10,2,191.112.0.1,3.73,3,icmp-echo,95,0,203809,11,4,5,252,4,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,96,3,1733576143,1,10.50.3.10,2,191.112.0.1,3.778,3,icmp-echo,95,0,453903,11,5,5,252,4,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,150,3,1733576143,1,10.50.3.10,2,191.112.0.1,4.174,3,icmp-echo,95,0,703986,11,6,5,252,4,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,0,3,1733576148,1,213.140.39.160,2,10.50.3.10,6.205,3,icmp-echo,95,1,958564,11,1,5,250,5,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,0,3,1733576159,1,213.140.39.160,2,10.50.3.10,6.264,3,icmp-echo,95,0,217087,11,3,5,250,5,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,0,3,1733576164,1,213.140.39.160,2,10.50.3.10,6.386,3,icmp-echo,95,1,471075,11,4,5,250,5,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,0,3,1733576164,1,213.140.39.160,2,10.50.3.10,6.59,3,icmp-echo,95,0,721856,11,5,5,250,5,3
44,2024-12-07 09:55:37,192.168.1.27,1,0,185.131.204.20,0,0,3,1733576169,1,213.140.39.160,2,10.50.3.10,5.981,3,icmp-echo,95,1,976097,11,6,5,250,5,3
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,69,2,1733575814,1,191.112.0.1,2,192.168.1.1,5.132,3,tcp-sport,95,0,924069,11,64118,5,254,2,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,72,2,1733575815,1,191.112.0.1,2,192.168.1.1,4.535,3,tcp-sport,95,0,174778,11,64119,5,254,2,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,73,2,1733575815,1,191.112.0.1,2,192.168.1.1,4.502,3,tcp-sport,95,0,425444,11,64120,5,254,2,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,80,2,1733575815,1,191.112.0.1,2,192.168.1.1,4.862,3,tcp-sport,95,0,676448,11,64121,5,254,2,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,84,2,1733575815,1,191.112.0.1,2,192.168.1.1,4.807,3,tcp-sport,95,0,926633,11,64122,5,254,2,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,86,2,1733575816,1,191.112.0.1,2,192.168.1.1,4.764,3,tcp-sport,95,0,176748,11,64123,5,254,2,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,750,2,1733575816,1,10.50.3.9,2,191.112.0.1,4.63,3,tcp-sport,95,0,677886,11,64119,5,253,3,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,138,2,1733575817,1,10.50.3.9,2,191.112.0.1,4.027,3,tcp-sport,95,0,179905,11,64121,5,253,3,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,905,2,1733575817,1,10.50.3.9,2,191.112.0.1,3.978,3,tcp-sport,95,0,430122,11,64122,5,253,3,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,337,2,1733575817,1,10.50.3.9,2,191.112.0.1,3.481,3,tcp-sport,95,0,931472,11,64124,5,253,3,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,384,2,1733575818,1,10.50.3.9,2,191.112.0.1,4.148,3,tcp-sport,95,0,182330,11,64125,5,253,3,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,142,2,1733575818,1,10.50.3.9,2,191.112.0.1,4.839,3,tcp-sport,95,0,683064,11,64127,5,253,3,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,245,2,1733575819,1,10.50.3.9,2,191.112.0.1,18.67,3,tcp-sport,95,0,183516,11,64119,5,253,3,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,306,2,1733575819,1,10.50.3.9,2,191.112.0.1,4.14,3,tcp-sport,95,0,433540,11,64119,5,253,3,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,976,2,1733575816,1,10.50.3.21,2,191.112.0.1,3.691,3,tcp-sport,95,0,426826,11,64118,5,253,3,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,767,2,1733575816,1,10.50.3.21,2,191.112.0.1,4.636,3,tcp-sport,95,0,928889,11,64120,5,253,3,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,128,2,1733575817,1,10.50.3.21,2,191.112.0.1,3.617,3,tcp-sport,95,0,680467,11,64123,5,253,3,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,229,2,1733575818,1,10.50.3.21,2,191.112.0.1,3.85,3,tcp-sport,95,0,432837,11,64126,5,253,3,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,544,2,1733575818,1,10.50.3.21,2,191.112.0.1,3.936,3,tcp-sport,95,0,933103,11,64128,5,253,3,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,363,2,1733575819,1,10.50.3.21,2,191.112.0.1,4.008,3,tcp-sport,95,0,684274,11,64119,5,253,3,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,937,2,1733575819,1,10.50.3.10,2,191.112.0.1,4.43,3,tcp-sport,95,0,934951,11,64118,5,252,4,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,296,2,1733575825,1,10.50.3.10,2,191.112.0.1,4.633,3,tcp-sport,95,1,436850,11,64120,5,252,4,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,502,2,1733575825,1,10.50.3.10,2,191.112.0.1,4.632,3,tcp-sport,95,0,686899,11,64121,5,252,4,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,439,2,1733575825,1,10.50.3.10,2,191.112.0.1,4.521,3,tcp-sport,95,0,937976,11,64122,5,252,4,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,523,2,1733575826,1,10.50.3.10,2,191.112.0.1,4.564,3,tcp-sport,95,0,188949,11,64123,5,252,4,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,0,2,1733575820,1,10.50.3.22,2,191.112.0.1,4.881,3,tcp-sport,95,0,185826,11,64119,5,252,4,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,0,2,1733575826,1,10.50.3.22,2,191.112.0.1,3.945,3,tcp-sport,95,0,439956,11,64124,5,252,4,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,0,2,1733575826,1,10.50.3.22,2,191.112.0.1,4.154,3,tcp-sport,95,0,690770,11,64125,5,252,4,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,0,2,1733575826,1,10.50.3.22,2,191.112.0.1,9.506,3,tcp-sport,95,0,941370,11,64126,5,252,4,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,0,2,1733575827,1,10.50.3.22,2,191.112.0.1,4.013,3,tcp-sport,95,0,192326,11,64127,5,252,4,2
40,2024-12-07 09:50:14,192.168.1.27,1,0,130.104.228.159,0,0,2,1733575827,1,10.50.3.22,2,191.112.0.1,4.85,3,tcp-sport,95,0,442790,11,64128,5,252,4,2
44,2024-12-07 09:45:43,192.168.1.27,1,0,130.104.228.159,0,673,2,1733575544,1,191.112.0.1,2,192.168.1.1,4.513,3,udp-dport,95,0,121475,11,33435,5,254,2,2
44,2024-12-07 09:45:43,192.168.1.27,1,0,130.104.228.159,0,674,2,1733575544,1,191.112.0.1,2,192.168.1.1,4.524,3,udp-dport,95,0,372448,11,33436,5,254,2,2
44,2024-12-07 09:45:43,192.168.1.27,1,0,130.104.228.159,0,694,2,1733575544,1,191.112.0.1,2,192.168.1.1,8.264,3,udp-dport,95,0,623493,11,33437,5,254,2,2
44,2024-12-07 09:45:43,192.168.1.27,1,0,130.104.228.159,0,695,2,1733575544,1,191.112.0.1,2,192.168.1.1,4.996,3,udp-dport,95,0,874142,11,33438,5,254,2,2
44,2024-12-07 09:45:43,192.168.1.27,1,0,130.104.228.159,0,696,2,1733575545,1,191.112.0.1,2,192.168.1.1,11.497,3,udp-dport,95,0,124499,11,33439,5,254,2,2
44,2024-12-07 09:45:43,192.168.1.27,1,0,130.104.228.159,0,697,2,1733575545,1,191.112.0.1,2,192.168.1.1,5.056,3,udp-dport,95,0,375415,11,33440,5,254,2,2
44,2024-12-07 09:45:43,192.168.1.27,1,0,130.104.228.159,0,99,2,1733575545,1,10.50.3.9,2,191.112.0.1,3.703,3,udp-dport,95,0,625886,11,33435,5,253,3,2
44,2024-12-07 09:45:43,192.168.1.27,1,0,130.104.228.159,0,635,2,1733575551,1,10.50.3.9,2,191.112.0.1,4.204,3,udp-dport,95,0,381650,11,33438,5,253,3,2
44,2024-12-07 09:45:43,192.168.1.27,1,0,130.104.228.159,0,64,2,1733575557,1,10.50.3.9,2,191.112.0.1,3.952,3,udp-dport,95,0,389196,11,33442,5,253,3,2
44,2024-12-07 09:45:43,192.168.1.27,1,0,130.104.228.159,0,644,2,1733575557,1,10.50.3.9,2,191.112.0.1,4.151,3,udp-dport,95,0,639613,11,33443,5,253,3,2
44,2024-12-07 09:45:43,192.168.1.27,1,0,130.104.228.159,0,349,2,1733575557,1,10.50.3.9,2,191.112.0.1,4.385,3,udp-dport,95,0,890207,11,33444,5,253,3,2
44,2024-12-07 09:45:43,192.168.1.27,1,0,130.104.228.159,0,233,2,1733575558,1,10.50.3.9,2,191.112.0.1,4.107,3,udp-dport,95,0,140994,11,33445,5,253,3,2
44,2024-12-07 09:45:43,192.168.1.27,1,0,130.104.228.159,0,797,2,1733575558,1,10.50.3.9,2,191.112.0.1,3.747,3,udp-dport,95,0,391527,11,33435,5,253,3,2
44,2024-12-07 09:45:43,192.168.1.27,1,0,130.104.228.159,0,851,2,1733575558,1,10.50.3.9,2,191.112.0.1,3.158,3,udp-dport,95,0,641634,11,33435,5,253,3,2
44,2024-12-07 09:45:43,192.168.1.27,1,0,130.104.228.159,0,896,2,1733575558,1,10.50.3.9,2,191.112.0.1,3.703,3,udp-dport,95,0,892252,11,33435,5,253,3,2
44,2024-12-07 09:45:43,192.168.1.27,1,0,130.104.228.159,0,948,2,1733575559,1,10.50.3.9,2,191.112.0.1,3.43,3,udp-dport,95,0,142324,11,33435,5,253,3,2
44,2024-12-07 09:45:43,192.168.1.27,1,0,130.104.228.159,0,251,2,1733575550,1,10.50.3.21,2,191.112.0.1,17.103,3,udp-dport,95,1,880156,11,33436,5,253,3,2
44,2024-12-07 09:45:43,192.168.1.27,1,0,130.104.228.159,0,782,2,1733575551,1,10.50.3.21,2,191.112.0.1,4.515,3,udp-dport,95,0,130693,11,33437,5,253,3,2
44,2024-12-07 09:45:43,192.168.1.27,1,0,130.104.228.159,0,923,2,1733575556,1,10.50.3.21,2,191.112.0.1,4.447,3,udp-dport,95,1,636405,11,33439,5,253,3,2
44,2024-12-07 09:45:43,192.168.1.27,1,0,130.104.228.159,0,112,2,1733575556,1,10.50.3.21,2,191.112.0.1,3.412,3,udp-dport,95,0,887290,11,33440,5,253,3,2
44,2024-12-07 09:45:43,192.168.1.27,1,0,130.104.228.159,0,8,2,1733575557,1,10.50.3.21,2,191.112.0.1,3.614,3,udp-dport,95,0,138137,11,33441,5,253,3,2
44,2024-12-07 09:45:43,192.168.1.27,1,0,130.104.228.159,0,1001,2,1733575559,1,10.50.3.21,2,191.112.0.1,3.611,3,udp-dport,95,0,393240,11,33435,5,253,3,2
44,2024-12-07 10:01:13,192.168.1.27,1,0,5.161.76.19,0,147,2,1733576473,1,191.112.0.1,2,192.168.1.1,4.636,3,udp-dport,95,0,637092,11,33435,5,254,2,2
44,2024-12-07 10:01:13,192.168.1.27,1,0,5.161.76.19,0,156,2,1733576473,1,191.112.0.1,2,192.168.1.1,4.219,3,udp-dport,95,0,887106,11,33436,5,254,2,2
44,2024-12-07 10:01:13,192.168.1.27,1,0,5.161.76.19,0,159,2,1733576474,1,191.112.0.1,2,192.168.1.1,7.959,3,udp-dport,95,0,137719,11,33437,5,254,2,2
44,2024-12-07 10:01:13,192.168.1.27,1,0,5.161.76.19,0,161,2,1733576474,1,191.112.0.1,2,192.168.1.1,4.409,3,udp-dport,95,0,388007,11,33438,5,254,2,2
44,2024-12-07 10:01:13,192.168.1.27,1,0,5.161.76.19,0,163,2,1733576474,1,191.112.0.1,2,192.168.1.1,6.497,3,udp-dport,95,0,638859,11,33439,5,254,2,2
44,2024-12-07 10:01:13,192.168.1.27,1,0,5.161.76.19,0,166,2,1733576474,1,191.112.0.1,2,192.168.1.1,5.517,3,udp-dport,95,0,889721,11,33440,5,254,2,2
