src,dst,stime,method,proto,sport,dport,node_addr,hop_addr,probe_ttl,probe_attempt,probe_rtt,probe_retransmit,probe_sent_ttl,probe_sent_size,reply_rtt,reply_ttl,reply_ipid,reply_icmp_type,reply_icmp_code
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,5.868,254,464,11,0
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.708,254,465,11,0
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,9.013,254,473,11,0
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.598,254,479,11,0
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,3.908,254,486,11,0
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.742,254,490,11,0
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.786,253,694,11,0
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.486,253,245,11,0
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.4,253,252,11,0
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.623,253,317,11,0
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,3.698,253,731,11,0
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.239,253,61,11,0
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,3.21,253,122,11,0
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.207,253,968,11,0
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,3.61,253,306,11,0
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.159,253,438,11,0
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.684,253,118,11,0
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.881,253,62,11,0
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,5.101,252,348,11,0
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,191.112.0.1,10.50.3.10,4,1,N/A,N/A,N/A,N/A,3.897,252,604,11,0
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.616,252,717,11,0
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.458,252,733,11,0
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.438,252,911,11,0
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.277,252,89,11,0
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,3.956,252,0,11,0
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,4.26,252,0,11,0
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,4.192,252,0,11,0
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,4.566,252,0,11,0
192.168.1.27,130.104.228.159,N/A,tcp-ack-sport,N/A,64620,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,3.856,252,0,11,0
