src,dst,stime,method,proto,sport,dport,node_addr,hop_addr,probe_ttl,probe_attempt,probe_rtt,probe_retransmit,probe_sent_ttl,probe_sent_size,reply_rtt,reply_ttl,reply_ipid,reply_icmp_type,reply_icmp_code
192.168.1.27,5.161.76.19,N/A,udp-sport,N/A,39293,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.578,254,180,11,0
192.168.1.27,5.161.76.19,N/A,udp-sport,N/A,39293,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.484,254,184,11,0
192.168.1.27,5.161.76.19,N/A,udp-sport,N/A,39293,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,3.969,254,188,11,0
192.168.1.27,5.161.76.19,N/A,udp-sport,N/A,39293,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,5.383,254,192,11,0
192.168.1.27,5.161.76.19,N/A,udp-sport,N/A,39293,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.077,254,193,11,0
192.168.1.27,5.161.76.19,N/A,udp-sport,N/A,39293,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.192,254,196,11,0
192.168.1.27,5.161.76.19,N/A,udp-sport,N/A,39293,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,2.849,253,738,11,0
192.168.1.27,5.161.76.19,N/A,udp-sport,N/A,39293,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.063,253,798,11,0
192.168.1.27,5.161.76.19,N/A,udp-sport,N/A,39293,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,2.305,253,552,11,0
192.168.1.27,5.161.76.19,N/A,udp-sport,N/A,39293,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.82,253,89,11,0
192.168.1.27,5.161.76.19,N/A,udp-sport,N/A,39293,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.807,253,165,11,0
192.168.1.27,5.161.76.19,N/A,udp-sport,N/A,39293,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.783,253,309,11,0
192.168.1.27,5.161.76.19,N/A,udp-sport,N/A,39293,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,5.512,253,374,11,0
192.168.1.27,5.161.76.19,N/A,udp-sport,N/A,39293,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,3.733,253,511,11,0
192.168.1.27,5.161.76.19,N/A,udp-sport,N/A,39293,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.726,253,371,11,0
192.168.1.27,5.161.76.19,N/A,udp-sport,N/A,39293,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.482,253,796,11,0
