src,dst,stime,method,proto,sport,dport,node_addr,hop_addr,probe_ttl,probe_attempt,probe_rtt,probe_retransmit,probe_sent_ttl,probe_sent_size,reply_rtt,reply_ttl,reply_ipid,reply_icmp_type,reply_icmp_code
192.168.1.27,185.131.204.20,N/A,udp-sport,N/A,35405,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,3.979,254,489,11,0
192.168.1.27,185.131.204.20,N/A,udp-sport,N/A,35405,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.562,254,490,11,0
192.168.1.27,185.131.204.20,N/A,udp-sport,N/A,35405,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.265,254,493,11,0
192.168.1.27,185.131.204.20,N/A,udp-sport,N/A,35405,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,6.18,254,495,11,0
192.168.1.27,185.131.204.20,N/A,udp-sport,N/A,35405,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.899,254,499,11,0
192.168.1.27,185.131.204.20,N/A,udp-sport,N/A,35405,33435,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.231,254,500,11,0
192.168.1.27,185.131.204.20,N/A,udp-sport,N/A,35405,33435,191.112.0.1,10.50.3.9,3,1,N/A,N/A,N/A,N/A,3.271,253,715,11,0
192.168.1.27,185.131.204.20,N/A,udp-sport,N/A,35405,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.069,253,400,11,0
192.168.1.27,185.131.204.20,N/A,udp-sport,N/A,35405,33435,191.112.0.1,10.50.3.9,3,1,N/A,N/A,N/A,N/A,3.676,253,1023,11,0
192.168.1.27,185.131.204.20,N/A,udp-sport,N/A,35405,33435,191.112.0.1,10.50.3.9,3,1,N/A,N/A,N/A,N/A,3.676,253,569,11,0
192.168.1.27,185.131.204.20,N/A,udp-sport,N/A,35405,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.107,253,620,11,0
192.168.1.27,185.131.204.20,N/A,udp-sport,N/A,35405,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.323,253,249,11,0
192.168.1.27,185.131.204.20,N/A,udp-sport,N/A,35405,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.895,253,267,11,0
192.168.1.27,185.131.204.20,N/A,udp-sport,N/A,35405,33435,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.423,253,426,11,0
192.168.1.27,185.131.204.20,N/A,udp-sport,N/A,35405,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,5.143,253,305,11,0
192.168.1.27,185.131.204.20,N/A,udp-sport,N/A,35405,33435,191.112.0.1,10.50.3.21,3,1,N/A,N/A,N/A,N/A,4.43,253,372,11,0
192.168.1.27,185.131.204.20,N/A,udp-sport,N/A,35405,33435,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.294,253,480,11,0
192.168.1.27,185.131.204.20,N/A,udp-sport,N/A,35405,33435,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.463,252,977,11,0
192.168.1.27,185.131.204.20,N/A,udp-sport,N/A,35405,33435,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.721,252,980,11,0
192.168.1.27,185.131.204.20,N/A,udp-sport,N/A,35405,33435,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,3.091,252,194,11,0
192.168.1.27,185.131.204.20,N/A,udp-sport,N/A,35405,33435,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,3.849,252,303,11,0
192.168.1.27,185.131.204.20,N/A,udp-sport,N/A,35405,33435,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.327,252,174,11,0
192.168.1.27,185.131.204.20,N/A,udp-sport,N/A,35405,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,12.142,252,0,11,0
192.168.1.27,185.131.204.20,N/A,udp-sport,N/A,35405,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,2.387,252,0,11,0
192.168.1.27,185.131.204.20,N/A,udp-sport,N/A,35405,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,4.017,252,0,11,0
192.168.1.27,185.131.204.20,N/A,udp-sport,N/A,35405,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,13.444,252,0,11,0
192.168.1.27,185.131.204.20,N/A,udp-sport,N/A,35405,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,4.294,252,0,11,0
192.168.1.27,185.131.204.20,N/A,udp-sport,N/A,35405,33435,191.112.0.1,10.50.3.22,4,0,N/A,N/A,N/A,N/A,4.025,252,0,11,0
