src,dst,stime,method,proto,sport,dport,node_addr,hop_addr,probe_ttl,probe_attempt,probe_rtt,probe_retransmit,probe_sent_ttl,probe_sent_size,reply_rtt,reply_ttl,reply_ipid,reply_icmp_type,reply_icmp_code
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,6.106,254,200,11,0
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.26,254,202,11,0
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.719,254,203,11,0
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,6.197,254,205,11,0
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.494,254,206,11,0
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,192.168.1.1,191.112.0.1,2,0,N/A,N/A,N/A,N/A,4.107,254,207,11,0
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.46,253,582,11,0
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.37,253,627,11,0
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.04,253,729,11,0
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.274,253,791,11,0
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.102,253,842,11,0
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.085,253,892,11,0
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,4.172,253,947,11,0
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.9,3,0,N/A,N/A,N/A,N/A,3.147,253,991,11,0
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.554,253,489,11,0
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,3.553,253,534,11,0
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,2.979,253,684,11,0
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.21,3,0,N/A,N/A,N/A,N/A,4.32,253,23,11,0
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.585,252,849,11,0
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,3.854,252,901,11,0
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,5.528,252,979,11,0
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,3.73,252,27,11,0
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,3.778,252,96,11,0
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,191.112.0.1,10.50.3.10,4,0,N/A,N/A,N/A,N/A,4.174,252,150,11,0
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,10.50.3.10,213.140.39.160,5,1,N/A,N/A,N/A,N/A,6.205,250,0,11,0
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,10.50.3.10,213.140.39.160,5,0,N/A,N/A,N/A,N/A,6.264,250,0,11,0
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,10.50.3.10,213.140.39.160,5,1,N/A,N/A,N/A,N/A,6.386,250,0,11,0
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,10.50.3.10,213.140.39.160,5,0,N/A,N/A,N/A,N/A,6.59,250,0,11,0
192.168.1.27,185.131.204.20,N/A,icmp-echo,N/A,N/A,N/A,10.50.3.10,213.140.39.160,5,1,N/A,N/A,N/A,N/A,5.981,250,0,11,0
